3,1,4
2,3,5
3,5,7
4,3,5
4,1,4
3,2,5
1,3,3
2,3,4
1,1,2
2,1,3
3,2,3
1,2,2
0,2,2
5,4,7
5,4,7
1,3,4
3,3,4
5,2,6
2,4,5
3,3,4
2,2,3
2,5,5
2,0,2
1,1,2
0,2,2
1,2,3
3,4,5
2,2,3
2,1,3
2,3,4
0,2,2
2,2,4
7,0,7
5,5,6
0,3,3
3,1,3
2,3,4
2,1,2
2,1,3
2,2,4
2,4,4
2,3,5
0,3,3
2,1,2
4,2,5
3,1,3
2,1,2
1,4,5
1,2,3
6,5,8
5,2,6
1,1,1
1,3,4
3,2,4
2,3,3
2,2,4
1,4,5
2,2,3
3,5,7
3,2,4
1,3,3
1,1,1
1,3,3
1,1,2
4,2,4
2,2,3
2,6,6
2,1,2
4,4,5
4,3,5
1,1,2
0,4,4
5,4,7
0,2,2
1,3,4
3,6,7
5,6,10
2,1,3
3,4,5
4,2,5
6,5,8
2,0,2
1,3,4
3,4,5
1,1,2
1,0,1
3,3,4
2,0,2
4,2,5
2,6,6
2,2,3
0,6,6
3,1,3
4,8,9
5,6,8
2,6,7
1,1,2
3,6,7
2,2,4
6,1,6
